ID,AGE,BodyMassIndex,Education,Profession,AnnualIncome,InsuranceAwareness
87,2,5,5,1,4,1
88,5,5,3,3,6,10
89,3,2,6,7,3,7
90,5,4,2,5,3,6
91,2,3,6,8,5,7
92,5,3,4,8,5,8
93,1,4,6,6,5,6
94,4,3,4,9,1,2
95,5,3,2,3,5,8
96,1,1,5,5,4,4
97,1,4,4,8,4,1
98,5,2,1,7,1,1
99,5,3,6,1,4,9
100,5,4,6,3,2,1
101,1,3,4,9,5,4
102,5,1,5,4,4,10
103,1,3,6,3,1,8
104,5,2,2,9,4,4
105,1,1,5,7,3,6
106,4,3,5,1,4,8
107,2,4,1,10,3,2
108,1,2,4,4,6,1
109,3,2,3,4,1,3
110,4,3,1,8,1,5
111,4,4,5,3,3,1
112,2,1,5,2,2,9
113,3,4,1,3,4,4
114,3,3,5,7,4,2
115,3,1,3,2,6,5
116,1,2,6,9,1,3
117,4,4,5,6,2,5
118,2,4,4,6,4,8
119,1,5,7,3,1,6
120,1,2,1,1,6,2
121,5,3,6,1,5,10
122,4,1,4,10,3,2
123,5,3,5,10,3,6
124,1,4,4,8,6,3
125,4,4,5,7,1,9
126,5,1,5,7,6,2
127,3,2,7,5,1,2
128,5,4,1,3,2,2
129,1,2,4,4,5,7
130,5,1,5,8,3,5
131,4,5,6,7,6,1
132,5,1,6,9,1,6
133,1,1,5,2,5,9
134,4,2,2,8,1,7
135,5,5,3,5,5,8
136,3,3,1,1,2,10
137,1,3,6,5,3,10
138,5,4,4,1,6,8
139,1,2,3,7,4,2
140,3,5,2,2,5,2
141,3,5,4,5,1,3
142,2,3,1,3,5,6
143,3,1,6,2,1,2
144,2,1,5,4,2,1
145,2,4,1,9,3,10
146,5,1,6,5,1,4
147,2,1,2,5,4,6
148,2,1,4,1,5,4
149,4,5,2,4,2,3
150,4,2,3,10,1,2
151,5,1,6,1,1,4
152,4,4,7,7,4,8
153,5,1,1,5,4,8
154,2,1,6,6,3,1
155,2,5,6,9,2,8
156,3,1,3,6,3,2
157,5,3,1,5,1,7
158,2,1,1,1,1,8
159,2,5,1,2,6,7
160,5,2,4,2,3,8
161,2,1,2,8,3,8
162,2,4,6,10,1,1
163,3,4,2,3,3,5
164,1,5,3,6,6,4
165,2,2,5,8,2,10
166,1,3,6,3,3,6
167,1,5,2,8,5,5
168,5,5,2,7,1,2
169,5,2,5,2,5,7
170,4,5,6,9,6,6
171,2,5,1,7,2,4
172,3,5,6,7,6,1
173,1,5,3,2,2,4
174,1,4,5,2,3,7
175,4,5,5,10,3,8
176,4,3,4,4,4,3
177,2,5,5,9,1,8
178,3,4,5,3,3,9
179,2,2,1,4,5,6
180,1,1,7,7,1,10
181,4,1,4,4,3,2
182,1,2,3,5,4,3
183,5,2,2,8,5,8
184,5,4,5,10,4,9
185,1,2,2,4,1,2
186,2,3,5,8,4,5
187,2,2,2,4,2,2
188,5,1,6,5,3,8
189,4,2,3,10,1,6
190,5,1,3,7,3,9
191,3,2,4,10,3,9
192,5,3,2,6,3,10
193,1,3,1,2,2,1
194,3,4,1,9,5,6
195,5,4,4,7,1,5
196,1,2,6,6,1,1
197,1,5,4,9,5,1
198,1,3,4,2,4,8
199,4,4,1,5,3,8
200,1,5,7,3,1,8
201,3,3,6,9,4,2
202,3,2,1,8,4,6
203,4,2,7,6,6,3
204,2,2,4,10,6,2
205,3,3,2,3,2,3
206,3,3,5,7,2,10
207,1,2,7,4,6,4
208,1,5,1,7,2,9
209,2,5,7,1,2,3
210,2,5,5,4,1,9
211,1,4,5,5,3,4
212,1,4,6,10,4,3
213,5,4,5,9,6,8
214,1,5,4,6,1,4
215,1,3,5,3,5,3
216,5,2,7,3,2,3
217,5,3,1,3,2,4
218,1,2,4,6,3,10
219,3,2,3,1,1,10
220,1,2,2,10,4,10
221,3,2,3,10,5,8
222,1,2,7,9,3,6
223,1,5,5,3,5,3
224,1,5,2,10,1,7
225,1,2,6,3,1,7
226,3,1,4,8,2,2
227,1,4,7,3,6,8
228,4,4,1,9,1,4
229,4,1,5,1,2,8
230,5,5,4,6,2,2
231,3,5,3,10,2,1
232,3,3,3,2,6,6
233,1,4,7,8,6,5
234,2,2,6,5,3,8
235,2,1,2,6,1,6
236,4,1,2,4,5,7
237,2,3,7,3,1,1
238,2,5,5,9,2,3
239,3,3,2,4,5,6
240,5,5,4,5,5,2
241,4,3,6,4,1,2
242,2,5,6,6,1,3
243,3,1,3,2,6,1
244,2,1,5,9,5,2
245,5,4,2,8,5,7
246,5,2,7,5,3,9
247,5,4,5,5,1,3
248,4,1,5,7,3,8
249,5,5,5,5,6,1
250,1,2,1,10,6,7
251,5,3,3,3,2,10
252,4,3,4,10,2,4
253,5,2,1,5,3,2
254,2,1,1,6,6,8
255,5,3,1,9,2,4
256,5,4,3,8,3,8
257,1,3,5,3,4,6
258,2,2,6,10,5,2
259,4,3,3,3,1,6
260,3,5,3,9,3,3
261,2,4,2,5,2,8
262,5,5,3,6,4,5
263,3,3,7,1,6,8
264,5,1,3,3,6,8
265,2,3,7,4,4,3
266,1,4,4,2,3,5
267,2,2,2,6,6,7
268,4,5,4,2,6,3
269,5,3,3,10,5,2
270,5,2,3,2,1,1
271,4,5,2,5,6,1
272,5,5,4,3,1,10
273,4,5,7,4,3,4
274,1,5,6,4,1,4
275,5,3,7,4,4,6
276,1,4,7,2,3,9
277,4,4,3,6,4,2
278,1,3,7,1,1,5
279,4,4,1,9,5,3
280,5,2,2,4,6,4
281,4,4,6,6,5,10
282,4,4,6,9,5,8
283,2,4,4,2,4,2
284,4,5,3,3,4,10
285,5,4,2,10,3,5
286,5,2,6,3,2,10
287,1,2,2,2,5,5
288,3,3,4,5,2,9
289,5,4,6,10,6,3
290,2,4,3,7,2,3
291,2,5,5,5,5,3
292,1,2,6,3,1,2
293,4,1,6,9,3,10
294,2,5,3,7,4,5
295,2,4,6,4,4,10
296,4,1,1,2,4,10
297,2,2,2,9,4,4
298,4,1,7,6,3,7
299,1,1,3,7,1,9
300,1,1,1,5,5,5
301,3,2,3,6,5,7
302,2,4,2,9,5,7
303,3,4,7,10,4,9
304,2,5,7,6,2,1
305,4,5,2,5,5,9
306,1,4,7,4,2,8
307,3,1,4,5,3,4
308,5,4,4,4,2,7
309,1,3,4,3,6,5
310,5,5,7,3,3,9
311,1,5,3,4,6,8
312,1,4,2,8,3,10
313,2,1,6,10,1,9
314,2,3,1,9,2,3
315,5,3,7,1,6,5
316,5,1,2,8,6,4
317,3,5,1,1,3,6
318,2,2,2,9,4,10
319,1,3,5,8,5,4
320,2,5,5,7,2,10
321,2,1,2,6,3,3
322,5,5,2,8,3,7
323,5,4,6,2,2,3
324,5,4,1,7,4,1
325,5,5,2,1,4,5
326,5,1,2,8,4,1
327,5,4,1,6,1,7
328,2,2,1,1,1,10
329,1,1,3,1,5,3
330,5,2,7,5,5,1
331,4,5,1,10,5,4
332,3,1,5,4,5,6
333,1,4,1,4,4,8
334,4,5,1,10,4,2
335,5,4,2,8,3,7
336,3,3,4,1,6,6
337,5,3,2,6,3,6
338,1,1,7,3,6,10
339,2,3,3,10,1,6
340,5,2,5,2,2,1
341,4,3,3,8,4,5
342,5,1,7,4,4,9
343,1,3,6,6,2,6
344,5,2,7,9,3,7
345,2,4,7,7,6,7
346,5,1,7,2,6,7
347,1,5,6,5,1,9
348,1,5,3,6,1,6
349,1,2,2,5,5,10
350,4,5,3,2,4,6
351,1,5,1,3,2,2
352,3,2,4,9,3,5
353,4,3,5,5,1,7
354,1,1,4,9,4,6
355,5,4,6,5,1,7
356,3,4,1,7,3,2
357,4,2,2,6,6,7
358,1,4,5,2,4,2
359,1,5,1,10,1,9
360,2,1,6,7,4,1
361,5,4,3,6,6,7
362,4,1,3,5,4,2
363,3,2,1,5,1,8
364,4,4,4,3,3,4
365,5,4,1,10,1,7
366,5,1,4,5,2,1
367,4,1,3,6,4,9
368,5,4,6,8,5,8
369,1,5,7,8,1,2
370,5,5,3,7,4,6
371,5,1,4,9,2,3
372,3,3,2,7,2,2
373,2,3,3,10,5,2
374,5,5,1,9,1,9
375,4,1,1,1,5,9
376,1,4,3,3,1,3
377,2,2,6,7,4,4
378,1,3,5,1,3,7
379,2,4,3,8,3,5
380,1,4,2,1,2,5
381,1,4,7,2,5,4
382,5,5,3,4,3,7
383,5,4,3,2,2,1
384,2,2,3,2,4,4
385,3,3,1,9,6,3
386,5,1,6,6,5,3
387,2,5,1,7,2,8
388,3,4,2,2,3,4
389,5,1,2,4,4,9
390,1,4,2,2,4,6
391,3,3,2,2,3,1
392,1,2,7,2,4,6
393,3,2,1,10,3,10
394,3,1,1,10,3,10
395,3,3,4,2,6,6
396,2,1,6,1,3,9
397,4,1,7,8,4,1
398,4,3,7,1,5,4
399,5,2,2,1,2,1
400,2,4,6,10,5,7
401,5,2,3,6,2,9
402,3,4,5,4,2,3
403,3,1,1,1,6,1
404,2,3,3,6,4,2
405,5,2,3,5,5,4
406,2,2,3,2,3,2
407,4,2,2,7,1,5
408,4,5,1,5,4,6
409,1,3,3,4,6,1
410,1,5,4,1,5,10
411,1,2,3,8,5,8
412,2,3,2,10,4,9
413,2,1,1,9,5,10
414,2,3,4,4,1,9
415,4,4,5,7,3,10
416,5,2,3,7,4,7
417,1,4,1,1,5,3
418,1,4,3,5,2,5
419,5,3,1,3,2,2
420,2,5,2,5,1,9
421,4,3,6,2,5,10
422,1,3,5,10,5,2
423,4,1,6,1,5,4
424,5,3,4,10,5,6
425,4,5,1,5,1,2
426,4,1,4,6,3,1
427,1,4,2,4,4,10
428,5,2,4,7,6,10
429,4,4,2,3,1,1
430,1,1,1,1,1,1
431,3,2,5,3,5,7
432,3,2,4,3,2,4
433,2,1,2,2,1,4
434,1,2,6,1,2,4
435,1,4,1,10,4,7
436,3,2,7,9,2,3
437,4,1,7,5,4,3
438,5,5,2,1,2,1
439,4,3,4,6,1,5
440,2,4,5,10,3,9
441,2,5,1,6,6,2
442,5,2,5,7,2,4
443,2,4,6,9,4,6
444,2,4,7,1,1,5
445,5,2,1,9,2,7
446,5,3,5,6,3,10
447,2,5,2,5,1,3
448,1,1,6,2,1,2
449,1,5,7,3,2,1
450,1,3,1,3,2,7
451,2,2,5,8,6,4
452,5,3,4,4,6,1
453,2,4,4,5,5,2
454,5,2,6,3,2,4
455,3,4,3,5,5,8
456,5,3,4,1,1,9
457,2,5,2,1,1,6
458,1,2,7,5,6,7
459,1,4,7,8,5,10
460,5,5,2,5,2,10
461,2,2,6,6,1,5
462,2,2,1,5,2,10
463,1,5,6,1,6,2
464,4,4,2,5,5,5
465,5,5,5,9,6,3
466,5,2,3,6,3,5
467,1,2,2,8,4,9
468,5,3,3,3,3,3
469,3,5,1,7,3,4
470,2,3,2,6,6,4
471,5,4,6,2,4,8
472,5,1,7,4,6,5
473,1,5,2,9,6,8
474,2,3,6,3,5,3
475,4,3,3,9,5,6
476,4,4,2,7,1,2
477,5,2,5,6,3,6
478,2,4,7,5,5,2
479,3,3,1,1,5,1
480,5,3,7,1,3,3
481,5,5,7,2,5,4
482,1,5,7,9,5,7
483,4,3,5,3,2,5
484,4,5,3,3,5,4
485,1,1,5,5,3,5
486,1,2,6,5,6,7
487,2,1,2,3,4,6
488,3,2,4,1,6,3
489,3,1,2,2,3,5
490,5,1,2,5,3,9
491,1,3,2,10,2,3
492,4,2,2,2,6,1
493,4,5,6,8,3,8
494,2,4,1,3,1,3
495,1,1,4,4,5,10
496,5,1,4,10,3,7
497,2,2,2,9,5,4
498,1,3,5,6,1,5
499,4,4,5,1,5,1
500,5,4,5,10,6,5
501,4,4,3,8,5,1
502,2,5,3,2,2,9
503,5,2,6,6,1,6
504,5,2,5,4,4,5
505,1,2,4,7,6,2
506,1,3,1,8,4,4
507,4,4,7,2,6,6
508,4,5,5,5,3,3
509,2,2,7,5,4,4
510,2,4,1,10,2,7
511,2,3,3,8,4,6
512,3,5,3,7,4,1
513,2,5,5,2,2,7
514,4,3,6,8,6,7
515,1,4,5,1,4,2
516,2,4,3,10,2,8
517,5,4,7,8,4,2
518,1,4,6,10,5,4
519,5,5,4,1,6,10
520,5,5,3,1,2,6
521,1,4,4,5,6,3
522,1,5,6,10,1,1
523,2,5,5,3,1,6
524,5,2,4,2,2,8
525,4,1,3,8,2,3
526,2,3,5,10,4,3
527,3,2,3,4,5,4
528,2,2,7,8,4,7
529,2,4,4,2,5,3
530,2,4,3,6,5,8
531,3,5,7,4,2,6
532,5,3,4,3,6,7
533,2,3,4,4,6,8
534,2,5,2,5,4,8
535,3,3,2,7,4,6
536,3,4,6,8,3,6
537,4,3,3,2,2,3
538,2,5,4,10,4,3
539,2,5,5,3,5,8
540,4,3,4,2,1,9
541,5,2,1,6,3,3
542,2,3,7,8,4,4
543,5,5,6,10,3,3
544,2,4,5,4,6,5
545,2,5,1,3,2,4
546,1,5,6,10,5,7
547,4,5,6,7,5,5
548,2,3,2,10,4,1
549,1,5,7,2,6,4
550,3,2,3,5,5,1
551,5,3,3,1,2,2
552,1,2,4,7,3,7
553,2,4,3,4,5,9
554,1,2,1,3,4,10
555,1,4,3,2,2,3
556,2,4,4,3,5,7
557,5,2,3,7,2,7
558,1,2,1,2,1,5
559,1,3,5,1,5,8
560,5,3,7,9,5,2
561,1,2,7,10,2,10
562,2,1,5,10,4,8
563,1,2,6,3,5,9
564,3,3,5,2,5,4
565,1,5,6,9,5,3
566,5,5,4,5,1,7
567,1,4,2,9,5,7
568,4,5,2,8,5,8
569,5,5,4,9,3,3
570,4,3,2,7,4,10
571,4,2,7,8,6,6
572,1,5,7,9,4,4
573,2,5,6,10,6,1
574,3,5,5,1,5,10
575,3,3,2,4,6,7
576,2,5,7,1,3,10
577,1,4,3,4,1,7
578,3,4,6,8,4,1
579,2,3,3,10,5,3
580,2,5,1,8,1,10
581,3,1,6,10,2,7
582,2,2,4,7,4,3
583,3,5,7,5,4,10
584,5,2,4,2,1,3
585,4,5,6,6,2,4
586,4,3,3,2,5,9
587,5,2,5,6,4,9
588,3,2,2,4,5,8
589,1,1,6,5,5,5
590,1,5,6,4,3,7
591,1,2,6,8,3,6
592,2,5,4,10,1,2
593,1,2,6,6,4,5
594,3,2,7,8,2,2
595,3,5,1,10,6,8
596,2,2,4,10,6,3
597,4,4,4,6,3,2
598,2,1,3,6,6,10
599,2,5,1,1,4,10
600,3,3,3,5,3,3
601,5,4,6,9,2,2
602,4,4,6,6,3,2
603,3,2,2,5,5,3
604,2,5,6,1,3,3
605,1,5,6,6,5,10
606,5,3,3,9,4,4
607,5,3,2,1,4,9
608,5,2,7,9,2,10
609,2,3,6,3,6,2
610,1,2,2,9,6,4
611,1,3,4,7,1,6
612,5,4,4,10,6,9
613,2,4,6,2,6,4
614,3,1,4,9,6,2
615,5,1,7,1,5,9
616,3,4,1,1,3,4
617,4,4,6,5,5,10
618,4,1,4,1,5,7
619,2,2,5,6,1,5
620,5,3,3,10,2,8
621,4,2,6,7,2,6
622,1,3,3,4,4,9
623,5,4,7,2,2,6
624,5,3,2,10,1,2
625,2,4,5,8,2,1
626,2,4,3,6,2,3
627,4,1,7,6,4,2
628,4,5,3,5,5,8
629,4,4,5,2,4,8
630,4,1,4,2,5,6
631,5,2,7,3,1,8
632,1,3,5,4,5,7
633,4,4,3,4,3,3
634,2,1,6,7,1,10
635,5,4,2,5,6,6
636,1,5,3,8,2,6
637,4,4,1,2,1,6
638,4,4,4,2,5,8
639,3,1,3,1,6,5
640,1,2,6,9,3,7
641,4,4,1,8,4,6
642,4,5,2,4,1,4
643,2,3,7,10,5,6
644,1,2,2,7,5,5
645,5,3,5,1,6,6
646,5,3,1,6,4,9
647,5,2,5,8,4,6
648,1,1,3,10,4,8
649,2,4,7,5,5,8
650,5,4,2,5,4,1
651,2,1,5,1,6,3
652,3,2,3,8,4,1
653,5,4,6,5,4,8
654,1,5,1,8,2,10
655,2,4,7,3,3,3
656,2,2,3,6,6,4
657,3,2,3,3,4,5
658,5,5,3,10,2,10
659,5,1,2,9,1,10
660,3,2,3,6,3,8
661,2,2,2,7,3,3
662,3,4,3,1,1,8
663,4,5,5,10,3,10
664,2,5,7,1,3,9
665,1,5,1,6,1,6
666,1,1,3,7,1,9
667,3,5,3,2,3,1
668,2,5,4,6,2,7
669,4,5,5,3,6,3
670,1,3,7,7,4,9
671,1,4,2,8,2,7
672,5,2,5,6,5,4
673,3,1,3,5,1,4
674,3,1,7,4,3,4
675,4,1,3,10,4,2
676,1,3,2,4,6,4
677,3,1,5,3,4,7
678,3,4,4,10,6,3
679,3,2,1,6,2,9
680,5,4,5,1,5,5
681,3,1,6,8,6,4
682,2,2,1,10,3,9
683,5,2,1,7,5,1
684,4,1,5,6,2,6
685,4,1,5,7,5,10
686,5,2,1,7,6,10
687,1,1,4,7,2,8
688,5,3,2,1,1,4
689,5,3,6,9,3,8
690,4,4,1,10,2,4
691,5,5,4,2,6,4
692,1,5,4,4,5,10
693,3,1,3,1,6,10
694,2,3,2,2,1,10
695,5,4,6,9,4,7
696,5,4,4,2,3,10
697,1,4,4,10,4,6
698,5,3,2,2,1,5
699,4,4,5,2,1,1
700,3,3,2,8,6,9
701,2,2,4,9,1,9
702,4,4,7,8,4,9
703,2,2,6,1,4,2
704,2,1,4,9,3,9
705,3,5,3,1,4,3
706,1,1,1,9,1,10
707,3,4,2,3,2,7
708,3,5,1,8,4,5
709,1,5,7,2,4,10
710,5,2,7,8,2,7
711,1,5,2,3,1,4
712,4,3,5,9,5,5
713,1,1,7,5,5,5
714,1,5,5,5,4,4
715,2,4,7,9,6,7
716,3,1,2,5,1,4
717,1,4,4,7,6,2
718,3,2,7,1,3,2
719,5,5,4,9,6,6
720,4,1,6,6,6,3
721,4,4,1,9,1,8
722,1,5,3,4,3,5
723,4,5,7,7,6,2
724,5,3,7,2,5,2
725,1,2,3,5,3,1
726,3,5,3,10,6,3
727,1,4,6,2,2,7
728,1,2,4,1,5,6
729,3,1,5,6,3,5
730,4,5,1,2,2,8
731,3,1,4,5,3,4
732,5,2,4,5,2,5
733,4,5,1,1,4,5
734,2,3,6,3,3,9
735,1,1,1,2,4,2
736,3,2,1,10,5,1
737,3,3,3,9,6,6
738,3,4,4,10,1,9
739,3,5,4,9,1,8
740,1,4,3,7,6,2
741,5,2,5,9,6,8
742,1,4,7,7,6,1
743,3,5,4,2,6,1
744,2,5,3,6,5,3
745,2,4,5,5,5,3
746,4,1,5,8,6,2
747,5,2,3,7,2,2
748,1,2,3,4,6,10
749,1,5,1,10,1,7
750,3,4,1,1,1,6
751,3,4,1,1,1,9
752,2,5,2,2,3,8
753,5,2,6,1,1,1
754,5,1,3,10,3,1
755,4,3,4,10,2,6
756,3,2,2,3,6,1
757,4,1,4,7,2,9
758,4,3,4,8,3,10
759,3,4,4,1,3,8
760,4,1,5,1,5,8
761,2,5,7,3,2,8
762,1,5,3,8,3,7
763,1,4,6,10,5,5
764,4,3,6,3,2,10
765,2,3,3,2,3,1
766,1,2,5,8,1,8
767,1,3,2,9,2,4
768,2,1,7,6,5,3
769,4,1,4,6,1,7
770,1,5,6,5,6,10
771,2,2,7,2,2,1
772,2,2,4,10,3,5
773,1,3,3,4,4,10
774,2,2,2,7,5,9
775,2,3,6,5,4,7
776,2,5,5,5,2,7
777,1,2,5,5,5,8
778,4,3,5,9,2,4
779,3,5,6,7,3,4
780,5,5,7,3,2,1
781,4,4,4,7,5,10
782,3,4,6,10,3,4
783,4,5,5,3,2,10
784,3,4,6,1,1,8
785,2,2,5,8,1,6
786,4,1,1,5,1,2
787,4,2,3,3,6,7
788,1,4,3,10,2,1
789,1,5,4,4,5,9
790,5,5,1,10,2,2
791,3,5,5,2,6,9
792,1,3,7,2,6,4
793,4,5,1,2,3,1
794,4,1,7,4,4,2
795,2,4,2,5,6,10
796,1,1,3,10,5,10
797,2,1,3,3,3,8
798,2,3,6,6,6,8
799,4,4,7,5,4,6
800,2,3,5,3,1,10
801,3,5,2,7,1,1
802,1,1,3,3,1,5
803,4,1,1,2,1,7
804,3,1,1,2,2,4
805,4,1,7,6,3,10
806,2,5,4,10,1,5
807,2,5,4,6,3,4
808,3,5,2,3,1,8
809,2,5,1,8,4,4
810,1,2,3,8,6,9
811,3,5,5,3,1,10
812,4,4,7,3,3,4
813,5,5,6,7,4,7
814,2,4,2,6,4,5
815,5,1,2,9,4,2
816,2,2,1,6,2,1
817,5,4,4,1,5,2
818,3,2,6,5,4,3
819,5,2,5,5,4,9
820,4,1,7,4,5,10
821,3,3,7,2,2,1
822,5,5,6,1,5,5
823,2,2,4,1,4,7
824,3,1,3,6,2,5
825,5,4,7,3,5,4
826,4,5,6,9,1,7
827,2,1,5,5,3,2
828,5,3,5,5,1,3
829,3,4,6,8,3,1
830,2,1,6,5,2,4
831,3,2,6,1,2,3
832,2,3,1,7,1,8
833,4,2,6,5,6,4
834,5,1,4,7,5,5
835,5,3,3,10,1,10
836,4,3,2,8,1,9
837,2,3,7,3,4,2
838,2,4,2,9,4,8
839,3,1,3,2,1,2
840,4,3,6,4,4,2
841,5,4,3,10,6,1
842,4,5,4,5,2,5
843,4,2,7,4,5,6
844,2,1,1,2,2,5
845,1,3,5,7,3,7
846,4,4,2,8,2,4
847,5,5,6,8,5,4
848,3,4,4,2,4,7
849,4,5,1,6,1,8
850,3,1,5,2,3,4
851,1,2,5,10,2,4
852,1,3,5,2,6,1
853,1,1,2,6,3,8
854,1,1,2,2,1,9
855,4,5,6,8,3,10
856,2,1,4,10,2,1
857,2,5,7,5,1,4
858,4,2,6,6,2,8
859,5,3,6,2,2,2
860,1,1,3,9,1,4
861,2,5,5,6,4,5
862,4,1,5,1,1,9
863,2,4,4,4,1,10
864,4,4,3,2,4,6
865,4,2,7,5,4,6
866,5,4,2,6,3,3
867,5,4,3,5,2,10
868,1,2,3,1,4,6
869,2,3,6,1,5,5
870,1,5,7,3,5,10
871,4,3,4,3,1,8
872,2,5,7,8,1,1
873,3,5,7,6,2,8
874,1,1,7,1,1,6
875,4,3,1,1,5,3
876,2,5,3,10,5,9
877,1,3,6,2,6,7
878,1,2,3,5,2,4
879,1,3,7,4,3,5
880,1,1,1,9,6,9
881,4,1,3,7,6,9
882,4,4,7,8,4,9
883,3,2,3,2,4,6
884,2,2,1,7,1,3
885,5,3,5,3,4,2
886,5,2,1,6,1,8
887,3,1,6,10,5,3
888,5,3,6,6,4,9
889,3,5,1,2,4,9
890,4,4,5,1,6,4
891,1,3,4,10,5,7
892,1,1,5,2,6,9
893,1,3,7,1,4,2
894,5,4,5,5,4,4
895,5,2,5,10,2,7
896,2,1,3,3,2,7
897,2,1,1,6,1,9
898,1,1,3,6,3,7
899,2,5,3,6,2,5
900,3,3,5,2,4,2
901,3,1,7,6,3,8
902,3,2,2,6,1,7
903,1,1,3,9,1,2
904,2,1,4,8,2,8
905,4,4,6,10,2,4
906,1,2,7,9,2,6
907,3,1,4,1,4,3
908,5,1,7,5,5,6
909,4,5,2,5,5,2
910,2,1,1,2,6,5
911,5,2,2,1,4,7
912,5,2,6,9,3,1
913,5,2,1,8,4,10
914,1,4,2,8,1,7
915,3,3,5,10,2,5
916,2,5,7,9,6,3
917,1,5,6,10,3,6
918,4,4,4,10,6,2
919,5,1,4,5,5,1
920,1,2,6,7,3,6
921,4,2,7,9,3,2
922,4,1,7,3,1,9
923,2,1,5,9,6,7
924,3,2,7,1,6,9
925,5,3,3,10,1,7
926,3,2,1,3,1,4
927,2,1,4,5,6,8
928,5,1,4,10,5,7
929,1,4,5,10,6,9
930,1,2,6,6,5,1
931,1,5,1,4,5,7
932,3,3,2,7,2,4
933,2,3,6,5,4,9
934,3,5,1,1,2,4
935,1,4,6,6,6,8
936,5,2,7,5,6,9
937,3,2,6,10,1,4
938,5,3,3,9,3,6
939,4,4,3,1,6,7
940,2,4,7,7,2,3
941,2,1,3,2,6,1
942,4,3,5,9,5,5
943,2,2,6,8,5,1
944,5,3,7,5,4,8
945,5,3,1,5,2,6
946,3,2,1,8,6,9
947,1,4,6,2,2,3
948,4,3,3,6,3,5
949,3,5,6,7,4,3
950,5,1,1,6,1,7
951,5,1,5,5,5,5
952,2,4,2,7,3,8
953,4,5,1,5,2,7
954,5,5,2,7,2,4
955,4,1,1,10,2,5
956,5,4,5,3,4,6
957,1,5,1,6,3,9
958,4,1,5,8,4,5
959,5,2,3,1,3,7
960,2,3,1,4,4,9
961,4,2,1,1,2,10
962,5,5,1,2,4,3
963,4,5,5,3,6,1
964,2,2,3,5,5,10
965,4,2,5,7,5,3
966,1,1,1,5,2,5
967,5,2,7,10,2,5
968,5,4,2,2,4,5
969,4,4,4,2,6,2
970,1,2,4,6,2,7
971,3,5,1,8,4,8
972,1,4,2,2,1,8
973,1,2,7,3,3,6
974,5,5,6,7,6,4
975,4,4,4,1,6,4
976,2,1,3,3,3,3
977,5,3,4,4,2,3
978,4,4,4,6,6,3
979,3,4,2,10,2,10
980,2,4,2,7,5,9
981,5,5,5,9,1,10
982,4,2,5,4,2,9
983,3,2,4,5,5,3
984,5,3,1,4,1,6
985,3,5,5,3,6,2
986,1,4,7,10,4,1
987,4,5,2,7,4,7
988,5,4,7,6,5,2
989,2,3,1,3,4,1
990,4,4,4,8,1,8
991,2,2,1,6,3,4
992,3,4,5,4,5,4
993,4,5,7,2,1,10
994,2,5,2,8,5,7
